"""Modelo""";Sistema Operacional;Disponibilidade;Dimensões;Peso; MELHOR PREÇO ;Faixa de Preço; pre�o min ; pre�o max ;Custo-benefício;Hardware;#NOME?;- Câmera;#NOME?;Gsm;Dual Sim;Sim Card;Chipset;Processador;64 Bit;GPU;RAM;Memória Max;Memória Expansível;Polegadas;Resolução;Densidade de pixels;Tipo;Touchscreen;Multitouch;Cores;Megapixel;Resolução;Estabilização;Autofoco;Foco por toque;Flash;HDR;Localização;Câmera Frontal;Resolução da gravação;FPS da gravação;Stereo Sound Rec;Wi-Fi;Bluetooth;USB;NFC;GPS;GPRS;EDGE;UMTS;HSDPA;HSUPA;HSPA+;LTE;Velocidade máxima de download;Velocidade máxima de upload;Acelerômetro;Proximidade;Player de música;Player de vídeo;Radio FM;Tv;Saída de TV;Browser;Flash Player;Vibração;Viva Voz;Toques;Toques personalizados;Outros;Tipo;Aperture Size;Detecção facial;Detecção de sorriso;Auto focagem de vídeo;Estabilização de vídeo;Vídeo Câmera Frontal;IRDA;Mic. de Redução de Ruído;Ampere;SAR US;Giroscópio;Bússola;Impressão digital;Resistência a água;Proteção;Slow Motion;Foto em Vídeo;Opções da Câmera Frontal;Zoom Ótico;Vídeo HDR;Autonomia conversação;Autonomia em standby;Tamanho do Sensor;Barômetro;Dual Rec;SAR EU;Dual Shot;Gesto;Preço Extra;Segundo Display;Teclado Qwerty;MMS;Email;Câmera;Preço Magazine Luiza;Preço Kabum;Preço Carrefour;Code;Altímetro;Preço Casas Bahia;Preço Submarino;Preço FastShop;Preço Americanas;Preço Walmart;Preço Colombo;Preço Pontofrio;Personalizzazione;Display Curvo;Preço Apple;Antena;Blink Detection;ROM;Temperatura;Umidade;Foto 3D;Java;Vídeo 3D;3D;HSCSD;UMA;Satelital
LG Optimus L3 II;Android 4.1.2 Jelly Bean;2013/1;102.6 x 61.1 x 11.9 mm;107 gramas; R$-   ;; R$-   ; R$-   ;;3.7 / 10;2.5 / 10;3.4 / 10;2.4 / 10;ok Quad Band (850/900/1800/1900);X Também disponível Dual SIM;;Qualcomm MSM7225A;1 GHz;;;;4 GB;ok Micro SD até 32GB;3.2;2048 x 1536 pixel;180 ppi;IPS LCD;ok Capacitiva;ok;260 mil;3 Mp;;;ok;ok;X;X;ok;X;ok 640 x 480 pixel;30 fps;;ok 802.11b/g/n;ok 3.0 com A2DP;ok Micro USB 2.0;X;ok A-GPS;ok;ok;ok;ok;ok;X;X;7.2 Mbps;5.76 Mbps;;;ok;ok MP4/H.263/H.264/WMV;ok;X;X;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;Transmissor FM;Litio;;X;;ok;X;;;;1540 Mah;;;;;;;;;;;;240 minutos;100 horas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asus Fonepad;Android 4.1 Jelly Bean;2013/2;196.4 x 120.1 x 10.4 mm;340 gramas; R$-   ;; R$-   ; R$-   ;;4.4 / 10;04/out;3.2 / 10;3.3 / 10;ok Quad Band (850/900/1800/1900);X;Micro;Intel Atom Z2420;1.2 GHz;;PowerVR SGX540;1 GB;16 GB;ok Micro SD Até 32 GB;7;2048 x 1536 pixel;216 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;3.15 Mp;;;ok;ok;X;X;ok;ok 1.2 Mp;ok 720 pixel;;;ok 802.11b/g/n;ok 3.0;ok Micro USB 2.0;X;ok A-GPS/GLONASS;ok;ok;ok;ok;ok;ok;X;21 Mbps;5.76 Mbps;ok;ok;ok;ok MP4/H.263/H.264;X;X;X;ok HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi hotspot;LiPo;;X;;X;X;;;;4270 Mah;;X;ok;;;;;;;;;1950 minutos;751 horas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Huawei Ascend P2;Android 4.1.2 Jelly Bean;2013/1;136.2 x 66.7 x 8.4 mm;122 gramas; R$-   ;; R$-   ; R$-   ;;06/out;7.1 / 10;6.5 / 10;3.6 / 10;ok Quad Band (850/900/1800/1900);X;Micro;Huawei Hi-Silicon K3V2   Balong V7R1;1.5 GHz Quad Core;;;1 GB;16 GB;X;4.7;4032 x 3224 pixel;312 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;13 Mp;;;ok;ok;ok LED;ok;ok;ok 1.3 Mp;ok Full HD;30 fps;;ok 802.11b/g/n;ok 4.0 com LE/EDR/A2DP;ok Micro USB 2.0;ok;ok A-GPS/GLONASS;ok;ok;ok;ok;ok;ok;ok;150 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV/DIVX/Xvid;X;X;;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;;Litio;;ok;ok;ok;;720p HD, 30fps;;;2420 Mah;;ok;ok;;;ok Gorilla Glass 2;;;;;ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ok;;;;;
Nokia Lumia 720;Windows Phone 8  Lumia Black;2013/1;127.9 x 67.5 x 9 mm;128 gramas; R$-   ;; R$-   ; R$-   ;;4.6 / 10;3.6 / 10;5.3 / 10;03/out;ok Quad Band (850/900/1800/1900);X;Micro;Qualcomm MSM8227 Snapdragon S4;1 GHz Dual Core;;Adreno 305;512 MB;8 GB;ok Micro SD Até 64 GB;4.3;2848 x 2144 pixel;217 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;6.7 Mp;;;ok;ok;ok LED;X;ok;ok 1.3 Mp;ok HD 720p;30 fps;;ok 802.11b/g/n;ok 4.0 com A2DP/LE;ok Micro USB 2.0;ok;ok A-GPS/GLONASS;ok;ok;ok;ok;ok;X;X;21.1 Mbps;5.76 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV;ok;X;X;ok HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi hotspotDLNAHERE MapsHERE DriveHERE TransitHERE City LensNokia Glance 2.0;Litio;F 1.9;;;ok;X;720p HD, 30fps;;ok;2000 Mah;Head 1.24 W/kg;X;ok;;;ok Gorilla Glass 2;;;;;;804 minutos;520 horas;1/3.6 ;;;Head 0.76 W/kg;;;;;;;;;;;;BP-4GW;;;;;;;;;;;;;;;;;;;;;;;
Nokia Lumia 520;Windows Phone 8 Lumia Black;2013/2;119.9 x 64 x 9.9 mm;124 gramas; R$-   ;; R$-   ; R$-   ;;4.4 / 10;3.7 / 10;4.4 / 10;03/out;ok Quad Band (850/900/1800/1900);X;Micro;Qualcomm Snapdragon S4;1 GHz Dual Core;X;Adreno 305;512 MB;8 GB;ok Micro SD Até 64 GB;4;2592 x 1936 pixel;233 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;5 Mp;;;ok;ok;X;X;ok;X;ok HD 720p;30 fps;;ok 802.11b/g/n;ok 4.0 com A2DP/LE;ok Micro USB 2.0;X;ok A-GPS/GLONASS;ok;ok;ok;ok;ok;X;X;21.1 Mbps;5.76 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV;ok;X;X;ok HTML5;X;ok;ok;ok Polifônicos;ok;;Litio;;X;;ok;X;;;;1430 Mah;Head 0.77 W/kg;X;;;;;;;;;;576 minutos;360 horas;01/abr;;;Head 1.09 W/kg;;;;;;;;;;;;BP-5J;;;;;;;;;;;;;;;;;;;;;;;
Blu Tank 4.5;Android 4.1 Jelly Bean;2013/1;134 x 68.9 x 9.7 mm;136 gramas; R$-   ;; R$-   ; R$-   ;;3.9 / 10;04/out;4.8 / 10;0 / 10;ok Quad Band (850/900/1800/1900);ok;Mini (classic);MediaTek MT6577 Cortex-A9;1 GHz Dual Core;X;PowerVR SGX531;512 MB;4 GB;ok Micro SD Até 32 GB;4.5;2592 x 1944 pixel;245 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;5 Mp;;;ok;ok;ok LED;;ok;ok 0.3 Mp;ok;;X;ok 802.11b/g/n;ok 3.0 com A2DP;ok Micro USB 2.0;X;ok A-GPS;ok;ok;ok;ok;ok;X;X;7.2 Mbps;5.76 Mbps;;ok;ok;ok MP4/H.263/H.264/WMV;ok Stereo;X;X;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi DirectWi-Fi hotspot;Litio;;ok;;;;;;ok;1760 Mah;;;X;;ok;;;;;;;900 minutos;680 horas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nokia 301;;2013/1;114 x 50 x 12.5 mm;104.2 gramas; R$-   ;; R$-   ; R$-   ;;2.3 / 10;1.5 / 10;3.1 / 10;0 / 10;ok Quad Band (850/900/1800/1900);ok;Mini (classic);;1 Core;;;64 MB;256 MB;ok Micro SD até 32 GB;2.4;2048 x 1536 pixel;167 ppi;LCD;X;X;260 mil;3.15 Mp;;;X;X;X;X;X;X;X;;;X;ok 2.1 com A2DP/EDR;ok;X;X;ok;ok;;ok;ok;X;X;7.2 Mbps;-;X;X;ok;ok MP4/H.263/WMV;ok;X;X;ok Wap/Html/Nokia Web Browser/Nokia Xpress Browser;X;ok;X;ok Polifônicos;X;;Litio;;X;;X;X;;;;1200 Mah;;X;X;;;;;;;;;1200 minutos;888 horas;;;;;;;;;;;;;;;;BL-4U;;;;;;;;;;;;;;256 MB;;;;;;;;;
Nokia 105;;2013/1;107 x 44.8 x 14.3 mm;70 gramas; R$249,00 ;R$ 249 - R$ 249; R$249,00 ; R$249,00 ;2.7 / 10;1.2 / 10;0.7 / 10;0.5 / 10;0 / 10;ok Dual Band (900/1800);X;Mini (classic);;1 Core;;;;;X;1.45;128 x 128 pixel;125 ppi;LCD;X;X;65 mil;;;;X;X;X;X;X;X;X;;;X;X;;X;X;X;X;X;X;X;X;X;-;-;X;X;X;X;ok;X;X;X;X;ok;X;ok Polifônicos;X;;Litio;;X;;X;X;;;;800 Mah;;X;X;;;;;;;;;750 minutos;840 horas;;;;;;;;;;X;X;X;;;;BL-5CB;;;;;;;;;;;;;;;;;;;;;;;
LG Optimus G Pro;Android 4.1.2 Jelly Bean;2013/1;150.2 x 76.1 x 9.4 mm;160 gramas; R$1.779,00 ;R$ 1.779 - R$ 1.969; R$1.779,00 ; R$1.969,00 ;5.3 / 10;6.8 / 10;8.1 / 10;6.5 / 10;5.7 / 10;ok Quad Band (850/900/1800/1900);X;Micro;Qualcomm APQ8064T Snapdragon 600;1.7 GHz Quad Core;;Adreno 320;2 GB;32 GB;ok Micro SD até 64 GB;5.5;4208 x 3120 pixel;401 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;13 Mp;;ok Digital;ok;ok;ok LED;ok;ok;ok 2.1 Mp;ok Full HD;30 fps;;ok 802.11 a/b/g/n;ok 4.0 com A2DP;ok Micro USB 2.0;ok;ok A-GPS;ok;ok;ok;ok;ok;;ok;100 Mbps;-;ok;ok;ok;ok MP4/H.263/H.264/WMV/DIVX;ok;X;X MHL (hdmi);ok Wap/xHtml/Html/HTML5;ok Flash Lite;ok;ok;ok Polifônicos;ok;;Litio;;ok;;ok;ok;Full HD, 30fps;;;3140 Mah;;ok;ok;;;ok Gorilla Glass 2;;;;;ok;;;;;ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ok;;;;;
LG Optimus F7;Android 4.1.2 Jelly Bean;2013/1;131.47 x 68.2 x 9.6 mm;; R$-   ;; R$-   ; R$-   ;;5.1 / 10;7.1 / 10;4.1 / 10;2.7 / 10;ok Quad Band (850/900/1800/1900);X;Micro;;1.5 GHz Dual Core;;;2 GB;8 GB;ok Micro SD;4.7;3264 x 2448 pixel;312 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;8 Mp;;;ok;;ok LED;;ok;ok 1.3 Mp;ok;;;ok 802.11 a/b/g/n;ok;ok Micro USB 2.0;X;ok A-GPS;ok;ok;ok;ok;ok;;ok;-;-;ok;ok;ok;ok MP4/H.263/H.264/WMV/DIVX/Xvid;ok;X;X;ok Html;X;ok;ok;ok Polifônicos;ok;;Litio;;;;;;;;;2540 Mah;;X;ok;;;ok Gorilla Glass 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Samsung Galaxy Note 8.0;Android 4.1.2 Jelly Bean;2013/2;210.8 x 135.9 x 8 mm;338 gramas; R$-   ;; R$-   ; R$-   ;;05/out;04/out;5.1 / 10;4.1 / 10;ok Quad Band (850/900/1800/1900);X;Micro;Exynos 4412 Cortex-A9;1.6 GHz Quad Core;;Mali-400MP;2 GB;32 GB;ok Micro SD Até 64 GB;8;2592 x 1944 pixel;189 ppi;TFT LCD;ok Capacitiva;ok;16 milhões;5 Mp;;ok Digital;ok;ok;X;X;ok;ok 1.3 Mp;ok Full HD;30 fps;;ok 802.11 a/b/g/n;ok 4.0 com A2DP;ok Micro USB 2.0;X;ok A-GPS/GLONASS;ok;ok;ok;ok;ok;ok;X;21 Mbps;5.76 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV/DIVX;X;X;ok MHL (hdmi);ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;CalendarSNS integrationGoogle MapsGoogle NavigationWi-Fi DirectWi-Fi hotspotDLNAAlarmCalculatorChatONGmailGoogle Play StoreGoogle PlusYouTubeGoogle TalkSamsung Apps;Litio;;ok;;ok;X;;;;4600 Mah;;ok;ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZTE Grand Memo;Android 4.1.2 Jelly Bean;2013/1;;; R$-   ;; R$-   ; R$-   ;;5.4 / 10;4.9 / 10;4.6 / 10;5.2 / 10;ok Quad Band (850/900/1800/1900);;Mini (classic);Qualcomm MSM8974 Snapdragon 800;1.5 GHz Quad Core;;Adreno 330;2 GB;16 GB;ok Micro SD Até 32 GB;5.7;720 x 1280 pixel;258 ppi;TFT LCD;ok Capacitiva;ok;16 milhões;13 Mp;;;ok;ok;ok LED;X;ok;ok 1 Mp;ok 1080 pixel;30 fps;;ok 802.11 a/b/g/n;ok 4.0 com A2DP;ok Micro USB 2.0;X;ok A-GPS;ok;ok;ok;ok;ok;ok;ok;100 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV;;X;ok HDMI/MHL (hdmi)/HDMI via microUSB/OTA sync;ok HTML5;X;ok;ok;ok Polifônicos;ok;;Litio;;ok;;;X;;;;3200 Mah;;X;ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LG Optimus F5;Android 4.1.2 Jelly Bean;2013/1;126.04 x 64.5 x 9.3 mm;131 gramas; R$-   ;; R$-   ; R$-   ;;4.9 / 10;3.8 / 10;5.1 / 10;3.4 / 10;ok Quad Band (850/900/1800/1900);X;Mini (classic);Qualcomm Snapdragon S4 Plus MSM8960;1.2 GHz Dual Core;X;Adreno 225;1 GB;8 GB;ok Micro SD até 32 GB;4.3;2560 x 1920 pixel;256 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;5 Mp;;;ok;;X;ok;ok;ok 1.3 Mp;ok Full HD;30 fps;;ok 802.11 a/b/g/n;ok 4.0 com A2DP;ok Micro USB 2.0;ok;ok A-GPS;ok;ok;ok;ok;ok;ok;ok;100 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV/DIVX/Xvid;ok;X;X;ok Html;X;ok;ok;ok Polifônicos;ok;Wi-Fi DirectWi-Fi hotspot;Litio;;;;;;720p HD;;ok;2150 Mah;Head 0.52 W/kg Body 0.48 W/kg;X;ok;;;;;;;;;480 minutos;500 horas;;;;Head 0.47 W/kg Body 0.43 W/kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZTE Open;Firefox OS;2013/1;114 x 62 x 12.5 mm;120 gramas; R$-   ;; R$-   ; R$-   ;;3.2 / 10;2.7 / 10;3.1 / 10;2.4 / 10;ok Quad Band (850/900/1800/1900);X;Mini (classic);Qualcomm MSM7225A Snapdragon S1;1 GHz;;Adreno 200;256 MB;512 MB;ok Micro SD Até 32 GB;3.5;2048 x 1536 pixel;165 ppi;TFT LCD;ok Capacitiva;ok;;3.15 Mp;;;;;X;;ok;X;ok;;;ok 802.11b/g/n;ok 2.1 com A2DP/EDR;ok Micro USB 2.0;X;ok A-GPS;ok;ok;ok;ok;ok;X;X;7.2 Mbps;5.76 Mbps;ok;ok;ok;ok MP4/H.263/H.264;ok Stereo;X;X;ok Html;X;ok;ok;ok Polifônicos;ok;;Litio;;;;;;;;;1200 Mah;Head 0.95 W/kg Body 1.48 W/kg;X;X;;;;;;;;;240 minutos;240 horas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asus PadFone Infinity;Android 4.2 Jelly Bean;;143.5 x 72.8 x 8.9 mm;141 gramas; R$-   ;; R$-   ; R$-   ;;6.9 / 10;8.3 / 10;6.5 / 10;5.7 / 10;ok Quad Band (850/900/1800/1900);X;Nano;Qualcomm APQ8064T Snapdragon 600;1.7 GHz Quad Core;;Adreno 320;2 GB;64 GB;X;5;4128 x 3096 pixel;441 ppi;Super IPS LCD;ok Capacitiva;ok;16 milhões;13 Mp;;;ok;ok;ok LED;X;ok;ok 2 Mp;ok Full HD;30 fps;;ok 802.11 a/b/g/n/ac;ok 4.0 com A2DP;ok Micro USB 2.0;ok;ok A-GPS/GLONASS;ok;ok;ok;ok;ok;ok;ok;100 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264;ok;X;ok MHL (hdmi);ok HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi Direct50GB free ASUS Webstorage até 2 anos;LiPo;;ok;;X;X;Full HD, 30fps;;;2400 Mah;;ok;ok;;;ok Gorilla Glass;;;;;;1140 minutos;410 horas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HTC One;Android 4.2.2;2013/1;137.4 x 68.2 x 9.3 mm;143 gramas; R$-   ;; R$-   ; R$-   ;;6.2 / 10;7.9 / 10;5.8 / 10;5.7 / 10;ok Quad Band (850/900/1800/1900);X;Micro;Qualcomm APQ8064T Snapdragon 600;1.7 GHz Quad Core;;Adreno 320;2 GB;64 GB;X;4.7;2688 x 1520 pixel;469 ppi;Super LCD3;ok Capacitiva;ok;16 milhões;4 Mp;;ok Ótica;ok;ok;ok LED;ok;ok;ok 2.1 Mp;ok Full HD;30 fps;ok;ok 802.11 a/ac/b/g/n;ok 4.0 com A2DP;ok Micro USB 2.0;ok;ok A-GPS/GLONASS;ok;ok;ok;ok;ok;ok;ok;100 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV/DIVX/Xvid;ok;X;ok MHL (hdmi);ok HTML5;X;ok;ok;ok Polifônicos;ok;;LiPo;;ok;ok;;ok;Full HD, 30fps;ok;ok;2300 Mah;;ok;ok;;;ok Gorilla Glass 2;;ok;HDR;;ok;;;01/mar;;;;ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nokia Asha 310;Nokia S40 Asha;2013/1;109.9 x 54 x 13 mm;104 gramas; R$-   ;; R$-   ; R$-   ;;2.4 / 10;2.2 / 10;3.3 / 10;0 / 10;ok Dual Band (900/1800);ok;Mini (classic);;1 Core;;;64 MB;64 MB;ok Micro SD até 32 GB;3;1600 x 1200 pixel;155 ppi;LCD;ok Capacitiva;ok;65 mil;2 Mp;;;X;X;X;X;X;X;ok 176 x 144 pixel;10 fps;;ok 802.11b/g;ok 3.0 com A2DP;ok Micro USB 2.0;X;X;ok;ok;X;X;X;X;X;-;-;ok;X;ok;ok MP4/H.263/H.264/WMV;ok;X;X;ok Nokia Xpress Browser ;X;ok;ok;ok Polifônicos;ok;;Litio;;X;;X;X;;;;1100 Mah;;X;X;;;;;;;;;1020 minutos;600 horas;;;;;;;;;;;;;;;;BL-4U;;;;;;;;;;;;;;128 MB;;;;ok;;;;;
Samsung Galaxy Young;Android 4.1.2 Jelly Bean;2013/1;109.4 x 58.6 x 12.5 mm;112 gramas; R$-   ;; R$-   ; R$-   ;;4.1 / 10;2.7 / 10;4.3 / 10;2.5 / 10;ok Quad Band (850/900/1800/1900);ok também disponível single SIM;Mini (classic);Qualcomm Snapdragon MSM7227A Cortex A5;1 GHz;X;Adreno 200;768 MB;4 GB;ok Micro SD Até 64 GB;3.27;2048 x 1536 pixel;176 ppi;TFT LCD;ok Capacitiva;ok;260 mil;3.15 Mp;;;X;X;X;X;ok;X;ok 640 x 480 pixel;24 fps;X;ok 802.11b/g/n;ok 3.0 com A2DP;ok Micro USB 2.0;X;ok A-GPS;ok;ok;ok;ok;ok;X;X;7.2 Mbps;5.76 Mbps;ok;ok;ok;ok MP4/H.263/H.264;ok;DTV;X;ok Html;X;ok;ok;ok Polifônicos;ok;;Litio;;X;;X;X;;;;1300 Mah;Head 1.18 W/kg Body 1.28 W/kg;X;ok;;;;;;;;;384 minutos;250 horas;;;;Head 0.88 W/kg Body 0.56 W/kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ok;;;;;
Huawei G615;Android 4.0 Ice Cream Sandwich;2013/1;134 x 67.5 x 10.5 mm;145 gramas; R$-   ;; R$-   ; R$-   ;;5.5 / 10;07/out;06/out;3.4 / 10;ok Quad Band (850/900/1800/1900);X;Mini (classic);Huawei K3V2;1.4 GHz Quad Core;;Vivante GC4000;1 GB;8 GB;ok Micro SD até 32 GB;4.5;3264 x 2448 pixel;326 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;8 Mp;;;ok;ok;ok Dual LED;X;ok;ok 1.3 Mp;ok Full HD;30 fps;;ok 802.11b/g/n;ok 3.0 com A2DP/HS;ok Micro USB 2.0;X;ok A-GPS;ok;ok;ok;ok;ok;X;X;-;-;ok;ok;ok;ok MP4/H.263/H.264;;X;X;ok Html/HTML5;ok Flash Lite;ok;ok;ok Polifônicos;ok;;Litio;;ok;;ok;X;720p HD;;;2150 Mah;;ok;ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ok;;;;;
Samsung Galaxy Fame;Android 4.1 Jelly Bean;2013/1;113.2 x 61.6 x 11.6 mm;120.6 gramas; R$-   ;; R$-   ; R$-   ;;3.8 / 10;2.7 / 10;4.8 / 10;1.1 / 10;ok Quad Band (850/900/1800/1900);ok também disponível single SIM;Mini (classic);;1 GHz;;;512 MB;4 GB;ok Micro SD até 64 GB;3.5;2592 x 1944 pixel;165 ppi;TFT LCD;ok Capacitiva;ok;260 mil;5 Mp;;;ok;ok;ok LED;X;ok;ok 0.3 Mp;ok 640 x 480 pixel;25 fps;;ok 802.11b/g/n;ok 4.0 com A2DP;ok Micro USB 2.0;ok;ok A-GPS/GLONASS;ok;ok;ok;ok;ok;X;X;7.2 Mbps;5.76 Mbps;ok;ok;ok;ok MP4/H.263/H.264;ok;X;X;ok Html;X;ok;ok;ok Polifônicos;ok;;Litio;;ok;;X;X;;;;1300 Mah;;X;ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ok;;;;;
Motorola Atrix 2;Android 4.0.4;2011/4;126 x 66 x 10 mm;147 gramas; R$-   ;; R$-   ; R$-   ;;4.1 / 10;3.8 / 10;06/out;02/out;ok Quad Band (850/900/1800/1900);X;Mini (classic);Texas Instruments OMAP4430 Cortex-A9;1.2 GHz Dual Core;;PowerVR SGX540;1 GB;8 GB;ok Micro SD até 32 GB;4.3;3264 x 2448 pixel;256 ppi;TFT LCD;ok Capacitiva;ok;16 milhões;8 Mp;;ok Digital;ok;X;ok LED;X;ok;ok;ok Full HD;24 fps;;ok 802.11 a/b/g/n;ok 2.1 com A2DP/EDR;ok Micro USB 2.0;X;ok A-GPS;ok;ok;ok;ok;ok;ok;X;21 Mbps;5.76 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV/DIVX/Xvid;ok;X;ok HDMI;ok Html;ok;ok;ok;ok Polifônicos;ok;;Litio;;X;;X;X;;;;1785 Mah;;X;ok;;;ok Gorilla Glass;;;;;;530 minutos;382 horas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LG Optimus L1 II Dual;Android 4.1.2 Optimus UI 3.0 Jelly Bean;2013/2;102.9 x 59.2 x 12.2 mm;109.8 gramas; R$-   ;; R$-   ; R$-   ;;3.8 / 10;2.1 / 10;3.3 / 10;2.5 / 10;ok Quad Band (850/900/1800/1900);ok Também disponível Single e Triple SIM;Mini (classic);Qualcomm MSM7225A-AB Snapdragon S1;1 GHz;X;Adreno 200;512 MB;4 GB;ok Micro SD Até 32 GB;3;1600 x 1200 pixel;133 ppi;TFT LCD;ok Capacitiva;ok;;2 Mp;;;;;X;X;ok;X;ok 640 x 480 pixel;30 fps;;ok 802.11b/g/n;ok 3.0 com A2DP;ok Micro USB 2.0;X;ok A-GPS;ok;ok;ok;ok;ok;X;X;7.2 Mbps;5.76 Mbps;ok;ok;ok;ok MP4/H.264;ok RDS;X;X;ok Html;X;ok;ok;ok Polifônicos;ok;;Litio;;X;ok;;X;;;;1540 Mah;;X;X;;;;;;;;;240 minutos;400 horas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LG Optimus L1 II;Android 4.1.2 Optimus UI 3.0 Jelly Bean;2013/2;102.9 x 59.2 x 12.2 mm;109.8 gramas; R$332,00 ;R$ 332 - R$ 359; R$332,00 ; R$359,00 ;3.5 / 10;3.6 / 10;2.1 / 10;3.3 / 10;2.5 / 10;ok Quad Band (850/900/1800/1900);X Também disponível Dual SIM;Mini (classic);Qualcomm MSM7225A-AB Snapdragon S1;1 GHz;X;Adreno 200;512 MB;4 GB;ok Micro SD Até 32 GB;3;1600 x 1200 pixel;133 ppi;TFT LCD;ok Capacitiva;ok;;2 Mp;;;;;X;X;ok;X;ok 640 x 480 pixel;30 fps;;ok 802.11b/g/n;ok 3.0 com A2DP;ok Micro USB 2.0;X;ok A-GPS;ok;ok;ok;ok;ok;X;X;7.2 Mbps;5.76 Mbps;ok;ok;ok;ok MP4/H.264;ok RDS;X;X;ok Html;X;ok;ok;ok Polifônicos;ok;;Litio;;X;ok;;X;;;;1540 Mah;;X;X;;;;;;;;;240 minutos;400 horas;;;;Head 0.63 W/kg Body 0.52 W/kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LG Optimus L7 II Dual;Android 4.1.2 Jelly Bean;2012/3;122.2 x 66.6 x 9.7 mm;115.5 gramas; R$-   ;; R$-   ; R$-   ;;4.7 / 10;3.6 / 10;5.3 / 10;3.1 / 10;ok Quad Band (850/900/1800/1900);ok;Mini (classic);Qualcomm MSM8225 Snapdragon;1 GHz Dual Core;;Adreno 203;768 MB;4 GB;ok Micro SD Até 32 GB;4.3;3264 x 2448 pixel;217 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;8 Mp;;;ok;ok;ok LED;X;ok;ok 0.3 Mp;ok HD 720p;30 fps;;ok 802.11b/g/n;ok 3.0 com A2DP;ok Micro USB 2.0;X;ok A-GPS;ok;ok;ok;ok;ok;X;X;7.2 Mbps;5.76 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV/DIVX/Xvid;ok;X;X;ok xHtml/Html/HTML5;X Flash Lite;ok;ok;ok Polifônicos;ok;;Litio;;ok;;;X;;;;2460 Mah;;X;ok;;;;;;;;;720 minutos;800 horas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
